typeProbleme,type_encoded,nbTicketsOuverts_admin,creationDate,heureCreation,heure_sin,heure_cos,jourCreation,tempsReponse
COUPURE_TOTALE,1,1,2026-03-07T12:08:06.536591+00:00,12,-0.03533555987762109,-0.999375504106507,6,7.84
CABLE_ENDOMMAGE,2,6,2026-03-11T03:18:06.536591+00:00,3,0.7606892683748583,0.649116196824053,3,10.59
QUALITE_DEGRADEE,1,4,2025-11-01T17:38:06.536591+00:00,17,-0.9954379242100472,-0.09541141988458367,6,11.11
COUPURE_TOTALE,1,10,2026-03-24T06:32:06.536591+00:00,6,0.9902072487559171,-0.1396051736549805,2,12.67
CONFIG_MODEM,3,5,2026-03-12T20:26:06.536591+00:00,20,-0.8035972437015859,0.5951734788405931,4,10.15
QUALITE_DEGRADEE,1,8,2026-01-26T12:48:06.536591+00:00,12,-0.20833846841757298,-0.9780567890349824,1,14.08
CONFIG_MODEM,3,9,2025-10-22T02:55:06.536591+00:00,2,0.6918281806834979,0.7220621638142808,3,10.88
CONFIG_MODEM,3,9,2025-12-21T23:38:06.536591+00:00,23,-0.09541141988458374,0.9954379242100472,0,11.71
COUPURE_TOTALE,1,9,2026-03-17T12:42:06.536591+00:00,12,-0.18266453401908278,-0.9831752987192016,2,12.7
COUPURE_TOTALE,1,8,2025-10-25T22:49:06.536591+00:00,22,-0.304448708958119,0.9525287311224447,6,12.65
QUALITE_DEGRADEE,1,6,2025-10-22T17:48:06.536591+00:00,17,-0.9986522755602062,-0.05190021694002924,3,10.92
MODEM_DEFECTUEUX,2,7,2025-10-25T01:38:06.536591+00:00,1,0.4150902486738312,0.909780240198641,6,12.91
CABLE_ENDOMMAGE,2,3,2025-10-19T06:39:06.536591+00:00,6,0.9854820725817218,-0.1697795176693406,0,9.48
QUALITE_DEGRADEE,1,7,2026-01-19T00:50:06.536591+00:00,0,0.2168655828160201,0.9762014745890666,1,15.3
COUPURE_TOTALE,1,3,2025-11-08T18:59:06.536591+00:00,18,-0.9669347558045658,0.2550238773471316,6,12.25
DEBIT_FAIBLE,3,2,2025-11-22T18:07:06.536591+00:00,18,-0.9995201707484881,0.030974639092542614,6,7.81
CABLE_ENDOMMAGE,2,9,2026-01-19T11:00:06.536591+00:00,11,0.25839755582817836,-0.9660386654487612,1,13.54
CABLE_ENDOMMAGE,2,7,2026-03-06T06:04:06.536591+00:00,6,0.9998399849293209,-0.017888670619568278,5,9.58
CABLE_ENDOMMAGE,2,4,2025-11-23T22:16:06.536591+00:00,22,-0.43797893218655193,0.8989852362306779,0,11.62
MODEM_DEFECTUEUX,2,10,2026-03-09T12:54:06.536591+00:00,12,-0.2338696180365489,-0.9722679680825851,1,12.36
MODEM_DEFECTUEUX,2,3,2026-03-25T18:14:06.536591+00:00,18,-0.9981080659568636,0.06148405217492712,3,8.42
CABLE_ENDOMMAGE,2,6,2026-02-15T17:26:06.536591+00:00,17,-0.9890802632347816,-0.14737785749363838,0,11.38
MODEM_DEFECTUEUX,2,9,2026-01-06T05:37:06.536591+00:00,5,0.995012138824202,0.09975391517372617,2,14.91
MODEM_DEFECTUEUX,2,9,2025-12-19T21:23:06.536591+00:00,21,-0.6323673758105951,0.7746686401361692,5,12.78
CONFIG_MODEM,3,3,2025-12-01T00:48:06.536591+00:00,0,0.20833846841757328,0.9780567890349823,1,7.34
COUPURE_TOTALE,1,6,2026-02-14T01:44:06.536591+00:00,1,0.4387632779319252,0.8986026852499563,6,12.1
DEBIT_FAIBLE,3,6,2025-12-11T01:56:06.536591+00:00,1,0.4851911989235838,0.8744080857855189,4,9.08
COUPURE_TOTALE,1,8,2026-03-04T22:38:06.536591+00:00,22,-0.34979864759230933,0.9368249068756612,3,15.2
CONFIG_MODEM,3,5,2025-12-18T19:07:06.536591+00:00,19,-0.9574455203104969,0.2886140600133018,4,8.95
MODEM_DEFECTUEUX,2,6,2026-02-28T15:50:06.536591+00:00,15,-0.8436258067014167,-0.5369315582710554,6,8.42
CONFIG_MODEM,3,5,2026-01-05T22:20:06.536591+00:00,22,-0.4222227701499664,0.9064921027603542,1,12.49
MODEM_DEFECTUEUX,2,7,2025-11-24T05:17:06.536591+00:00,5,0.9825316906646449,0.18609534341211914,1,13.52
CABLE_ENDOMMAGE,2,3,2025-12-23T03:22:06.536591+00:00,3,0.7719020514068007,0.635741474999054,2,9.95
QUALITE_DEGRADEE,1,2,2025-10-26T15:08:06.536591+00:00,15,-0.7316512099119247,-0.6816791818989464,0,10.91
CABLE_ENDOMMAGE,2,12,2025-10-20T11:59:06.536591+00:00,11,0.003926980723806322,-0.9999922893814706,1,15.17
DEBIT_FAIBLE,3,5,2025-12-14T20:02:06.536591+00:00,20,-0.8614076230396918,0.5079142712792271,0,10.78
MODEM_DEFECTUEUX,2,10,2026-04-01T15:56:06.536591+00:00,15,-0.8573919468532121,-0.51466401610299,3,11.09
COUPURE_TOTALE,1,7,2026-02-03T11:41:06.536591+00:00,11,0.08237336591248601,-0.9966015395273317,2,12.75
CONFIG_MODEM,3,1,2026-02-23T05:42:06.536591+00:00,5,0.9969514730712623,0.07802410102679906,1,8.97
MODEM_DEFECTUEUX,2,9,2025-12-10T15:53:06.536591+00:00,15,-0.8505817481791863,-0.5258428374185954,3,9.84
COUPURE_TOTALE,1,6,2026-01-05T10:09:06.536591+00:00,10,0.46522832731131897,-0.8851907158726374,1,13.38
DEBIT_FAIBLE,3,7,2026-03-17T22:41:06.536591+00:00,22,-0.33750602034139615,0.9413233696415452,2,9.8
COUPURE_TOTALE,1,9,2025-12-31T16:32:06.536591+00:00,16,-0.9273472192616116,-0.37420199749300714,3,12.58
MODEM_DEFECTUEUX,2,6,2026-02-12T00:17:06.536591+00:00,0,0.07454361560688955,0.9972177542403927,4,13.32
MODEM_DEFECTUEUX,2,11,2026-01-24T16:29:06.536591+00:00,16,-0.9223696183664268,-0.38630853875441595,6,10.48
MODEM_DEFECTUEUX,2,3,2025-12-15T01:08:06.536591+00:00,1,0.2927889435438746,0.9561770937114431,1,10.49
QUALITE_DEGRADEE,1,4,2025-11-09T05:11:06.536591+00:00,5,0.9773235934086957,0.21175125446314227,0,14.74
COUPURE_TOTALE,1,5,2026-03-22T11:39:06.536591+00:00,11,0.09106710809953744,-0.9958447578927084,0,14.02
DEBIT_FAIBLE,3,0,2026-03-22T13:50:06.536591+00:00,13,-0.4621356007560396,-0.886809272907007,0,5.66
QUALITE_DEGRADEE,1,7,2026-01-10T02:29:06.536591+00:00,2,0.6056412518070753,0.795737817443383,6,14.76
QUALITE_DEGRADEE,1,4,2025-12-23T22:14:06.536591+00:00,22,-0.44580728186733737,0.8951289669282614,2,11.59
DEBIT_FAIBLE,3,1,2026-04-03T01:06:06.536591+00:00,1,0.284433681687055,0.958695718526972,5,7.34
COUPURE_TOTALE,1,5,2026-02-20T01:17:06.536591+00:00,1,0.3301025504114381,0.9439450758449158,5,14.23
COUPURE_TOTALE,1,11,2025-11-08T23:12:06.536591+00:00,23,-0.20748487363449528,0.9782382262071329,6,16.32
MODEM_DEFECTUEUX,2,2,2025-11-30T02:41:06.536591+00:00,2,0.6464569411148499,0.7629504723666087,0,11.99
COUPURE_TOTALE,1,7,2026-02-08T04:58:06.536591+00:00,4,0.9637469662128613,0.26681788754786684,0,14.95
COUPURE_TOTALE,1,2,2025-10-27T05:22:06.536591+00:00,5,0.9863575232511381,0.16461724188517007,1,14.88
CABLE_ENDOMMAGE,2,6,2026-04-08T14:08:06.536591+00:00,14,-0.5302892445642198,-0.847816794537304,3,7.32
QUALITE_DEGRADEE,1,4,2025-11-10T01:02:06.536591+00:00,1,0.2676588137302323,0.9635137567427488,1,13.84
CABLE_ENDOMMAGE,2,9,2025-11-05T06:34:06.536591+00:00,6,0.9889512751943923,-0.14824093662475749,3,9.41
MODEM_DEFECTUEUX,2,5,2026-02-05T20:04:06.536591+00:00,20,-0.8569424913584582,0.5154120356611385,4,9.72
COUPURE_TOTALE,1,11,2025-10-20T11:52:06.536591+00:00,11,0.03446342688300896,-0.999405959661778,1,13.71
DEBIT_FAIBLE,3,5,2026-03-04T17:04:06.536591+00:00,17,-0.9704011922476139,-0.24149850120530658,3,6.29
CABLE_ENDOMMAGE,2,9,2025-10-17T07:30:06.536591+00:00,7,0.9237124674225842,-0.3830865144168892,5,10.08
QUALITE_DEGRADEE,1,5,2026-03-06T21:33:06.536591+00:00,21,-0.5979749306960837,0.8015148047659594,5,12.19
DEBIT_FAIBLE,3,5,2026-03-24T18:24:06.536591+00:00,18,-0.9944761915521036,0.10496239534244493,2,8.56
MODEM_DEFECTUEUX,2,6,2026-02-16T06:44:06.536591+00:00,6,0.9815438338760325,-0.19123729285874022,1,10.95
DEBIT_FAIBLE,3,5,2025-11-04T18:22:06.536591+00:00,18,-0.9953542830149249,0.09628006690818644,2,5.5
CONFIG_MODEM,3,4,2026-03-23T08:57:06.536591+00:00,8,0.7159974067220949,-0.6981029390908156,1,7.06
CONFIG_MODEM,3,7,2025-11-09T05:24:06.536591+00:00,5,0.9877565039839765,0.15600348982427492,0,11.9
COUPURE_TOTALE,1,5,2025-11-04T08:29:06.536591+00:00,8,0.7957378174433831,-0.6056412518070753,2,11.52
DEBIT_FAIBLE,3,4,2025-12-04T17:30:06.536591+00:00,17,-0.9915017197888081,-0.13009358037903282,4,4.85
DEBIT_FAIBLE,3,7,2026-03-09T17:21:06.536591+00:00,17,-0.9856298578984718,-0.1689194577869536,1,10.43
DEBIT_FAIBLE,3,4,2025-10-22T04:02:06.536591+00:00,4,0.8705704733923174,0.492043748926329,3,8.75
DEBIT_FAIBLE,3,8,2026-02-03T19:34:06.536591+00:00,19,-0.9168859999894485,0.39914917389786614,2,10.1
DEBIT_FAIBLE,3,5,2026-01-17T04:43:06.536591+00:00,4,0.9442327851994295,0.3292786773456914,6,8.7
COUPURE_TOTALE,1,3,2026-01-02T02:22:06.536591+00:00,2,0.5810581253280176,0.8138620614024773,5,11.07
COUPURE_TOTALE,1,4,2025-10-14T18:24:06.536591+00:00,18,-0.9944761915521036,0.10496239534244493,2,12.48
QUALITE_DEGRADEE,1,8,2025-10-16T01:27:06.536591+00:00,1,0.3709626718430637,0.9286477782771332,4,14.3
MODEM_DEFECTUEUX,2,12,2025-11-10T07:00:06.536591+00:00,7,0.9658128032307327,-0.2592404851013707,1,13.54
MODEM_DEFECTUEUX,2,5,2026-02-12T02:17:06.536591+00:00,2,0.5631655419257048,0.8263441004736024,4,9.84
CABLE_ENDOMMAGE,2,2,2025-12-12T10:12:06.536591+00:00,10,0.4536016815975958,-0.8912045300893804,5,6.35
DEBIT_FAIBLE,3,4,2026-02-20T01:50:06.536591+00:00,1,0.4621356007560395,0.8868092729070071,5,8.17
DEBIT_FAIBLE,3,7,2026-02-19T12:57:06.536591+00:00,12,-0.24657617634817958,-0.969123412810521,4,8.46
QUALITE_DEGRADEE,1,5,2026-03-10T19:27:06.536591+00:00,19,-0.9286477782771336,0.3709626718430626,2,13.0
QUALITE_DEGRADEE,1,12,2025-10-25T02:31:06.536591+00:00,2,0.6125622251553133,0.7904223683023976,6,13.88
QUALITE_DEGRADEE,1,6,2026-02-18T05:55:06.536591+00:00,5,0.9997714504485632,0.0213786544940559,3,11.99
COUPURE_TOTALE,1,6,2025-11-07T16:06:06.536591+00:00,16,-0.8790252287837036,-0.47677525854615976,5,8.95
COUPURE_TOTALE,1,6,2025-12-26T15:02:06.536591+00:00,15,-0.7135562106085624,-0.7005979833698844,5,10.77
DEBIT_FAIBLE,3,6,2025-11-20T05:46:06.536591+00:00,5,0.998161340856094,0.06061301527200626,4,9.57
CABLE_ENDOMMAGE,2,8,2026-03-04T18:38:06.536591+00:00,18,-0.9862134920484683,0.1654779384134507,3,12.17
QUALITE_DEGRADEE,1,10,2026-04-02T07:38:06.536591+00:00,7,0.909780240198641,-0.41509024867383115,4,13.75
COUPURE_TOTALE,1,2,2026-03-01T18:26:06.536591+00:00,18,-0.9935223668770244,0.11363673048392053,0,13.08
CONFIG_MODEM,3,4,2026-04-11T11:31:06.536591+00:00,11,0.12576611332211318,-0.9920599199341991,6,3.49
CONFIG_MODEM,3,6,2026-03-06T07:25:06.536591+00:00,7,0.9318496371396823,-0.36284466891859174,5,6.7
MODEM_DEFECTUEUX,2,4,2026-01-10T19:42:06.536591+00:00,19,-0.9023973525334308,0.4309048829389788,6,10.32
COUPURE_TOTALE,1,6,2025-10-28T08:30:06.536591+00:00,8,0.7930876424956412,-0.6091075367459394,2,10.7
DEBIT_FAIBLE,3,7,2026-01-30T20:21:06.536591+00:00,20,-0.8163896503354523,0.5775014621844329,5,11.85
CABLE_ENDOMMAGE,2,1,2025-10-26T00:01:06.536591+00:00,0,0.004799637014974644,0.9999884816759264,0,9.35
QUALITE_DEGRADEE,1,8,2025-12-24T07:02:06.536591+00:00,7,0.9635137567427488,-0.2676588137302324,3,10.72
COUPURE_TOTALE,1,0,2026-04-09T20:58:06.536591+00:00,20,-0.7129445519069837,0.7012204117865867,4,9.65
CABLE_ENDOMMAGE,2,5,2026-03-04T08:43:06.536591+00:00,8,0.757280092105623,-0.6530902403959955,3,10.38
CABLE_ENDOMMAGE,2,4,2026-03-23T17:40:06.536591+00:00,17,-0.9962326321266587,-0.08672106252802442,1,10.26
COUPURE_TOTALE,1,4,2026-01-25T11:33:06.536591+00:00,11,0.1171040784260671,-0.9931196477846874,0,13.13
CABLE_ENDOMMAGE,2,4,2026-04-02T10:02:06.536591+00:00,10,0.49204374892632907,-0.8705704733923174,4,5.33
COUPURE_TOTALE,1,7,2026-03-21T19:33:06.536591+00:00,19,-0.918618883192027,0.39514471708860416,6,12.52
MODEM_DEFECTUEUX,2,9,2025-12-14T17:56:06.536591+00:00,17,-0.9998552150265739,-0.017016138932307308,0,13.73
COUPURE_TOTALE,1,9,2026-02-12T18:40:06.536591+00:00,18,-0.9847318909568554,0.17407786456794527,4,15.11
MODEM_DEFECTUEUX,2,6,2026-02-15T13:12:06.536591+00:00,13,-0.3094319416350898,-0.9509215916656527,0,12.8
QUALITE_DEGRADEE,1,8,2026-03-12T16:22:06.536591+00:00,16,-0.9101421283106639,-0.41429615768690775,4,13.19
QUALITE_DEGRADEE,1,2,2025-12-21T14:00:06.536591+00:00,14,-0.5003778272590875,-0.8658071551953558,0,13.68
MODEM_DEFECTUEUX,2,5,2026-04-04T15:15:06.536591+00:00,15,-0.7521274297845737,-0.6590177003432087,6,8.53
QUALITE_DEGRADEE,1,7,2026-02-27T05:53:06.536591+00:00,5,0.9995468206278512,0.030102381513000934,5,11.42
CONFIG_MODEM,3,6,2025-10-19T19:10:06.536591+00:00,19,-0.953585652308238,0.3011219083890647,0,11.42
DEBIT_FAIBLE,3,7,2025-12-05T11:24:06.536591+00:00,11,0.15600348982427478,-0.9877565039839765,5,9.17
COUPURE_TOTALE,1,7,2026-02-15T21:21:06.536591+00:00,21,-0.6391034705862311,0.7691207667750458,0,17.21
MODEM_DEFECTUEUX,2,3,2026-03-09T03:24:06.536591+00:00,3,0.7774204802912911,0.6289812372588377,1,12.31
MODEM_DEFECTUEUX,2,8,2026-03-25T03:32:06.536591+00:00,3,0.7988980253555458,0.6014664953952212,3,11.02
DEBIT_FAIBLE,3,5,2026-02-14T14:25:06.536591+00:00,14,-0.5916614699033966,-0.8061865200012662,6,4.83
COUPURE_TOTALE,1,5,2025-10-25T02:47:06.536591+00:00,2,0.6662071315433603,0.7457667583640128,6,11.97
MODEM_DEFECTUEUX,2,4,2026-03-06T22:40:06.536591+00:00,22,-0.34161009252604035,0.939841765769297,5,11.26
DEBIT_FAIBLE,3,13,2025-10-19T23:40:06.536591+00:00,23,-0.08672106252802447,0.9962326321266587,0,14.67
QUALITE_DEGRADEE,1,3,2025-12-02T04:00:06.536591+00:00,4,0.8662434874945092,0.4996220775479704,2,10.61
CABLE_ENDOMMAGE,2,2,2026-01-21T06:43:06.536591+00:00,6,0.9823689177416868,-0.18695269309380655,3,8.95
COUPURE_TOTALE,1,5,2025-10-25T15:33:06.536591+00:00,15,-0.8015148047659599,-0.5979749306960829,6,9.61
MODEM_DEFECTUEUX,2,9,2026-03-31T04:11:06.536591+00:00,4,0.8892168420356845,0.45748596463726027,2,14.5
MODEM_DEFECTUEUX,2,8,2025-11-17T03:14:06.536591+00:00,3,0.7492447720228066,0.6622931915673697,1,14.32
COUPURE_TOTALE,1,6,2026-03-01T10:01:06.536591+00:00,10,0.49583763325405084,-0.8684152471306692,0,10.45
MODEM_DEFECTUEUX,2,4,2025-12-03T00:44:06.536591+00:00,0,0.19123729285874028,0.9815438338760325,3,10.12
DEBIT_FAIBLE,3,7,2025-12-17T19:17:06.536591+00:00,19,-0.9439450758449159,0.33010255041143793,3,9.02
CONFIG_MODEM,3,10,2026-01-05T17:39:06.536591+00:00,17,-0.9958447578927084,-0.09106710809953839,1,8.56
COUPURE_TOTALE,1,6,2026-03-03T18:49:06.536591+00:00,18,-0.9771384334656538,0.2126040494541158,2,12.27
COUPURE_TOTALE,1,7,2025-11-18T04:13:06.536591+00:00,4,0.8931752508934674,0.4497087626357659,2,13.35
QUALITE_DEGRADEE,1,4,2026-03-16T00:53:06.536591+00:00,0,0.22962508591394679,0.973279158268075,1,14.16
CONFIG_MODEM,3,6,2026-02-08T18:28:06.536591+00:00,18,-0.9924928816271295,0.12230241174840642,0,9.38
CONFIG_MODEM,3,4,2026-01-31T00:04:06.536591+00:00,0,0.01788867061956834,0.9998399849293209,6,5.6
QUALITE_DEGRADEE,1,12,2025-12-28T01:21:06.536591+00:00,1,0.3465263873122408,0.9380402245619998,0,19.08
MODEM_DEFECTUEUX,2,10,2026-01-15T16:15:06.536591+00:00,16,-0.8970656409978258,-0.4418973135708792,4,10.76
QUALITE_DEGRADEE,1,6,2025-11-28T03:56:06.536591+00:00,3,0.8573919468532121,0.5146640161029901,5,12.06
MODEM_DEFECTUEUX,2,7,2026-04-01T03:26:06.536591+00:00,3,0.7828797055963016,0.6221731001622042,3,10.25
CONFIG_MODEM,3,6,2025-11-22T23:07:06.536591+00:00,23,-0.22877565229436292,0.9734791733351509,6,9.08
QUALITE_DEGRADEE,1,2,2025-11-22T22:20:06.536591+00:00,22,-0.4222227701499664,0.9064921027603542,6,12.03
DEBIT_FAIBLE,3,4,2026-03-17T07:31:06.536591+00:00,7,0.9220321494004292,-0.3871133108949169,2,4.02
QUALITE_DEGRADEE,1,8,2026-01-30T10:21:06.536591+00:00,10,0.41826344548498073,-0.9083257621421031,5,11.95
DEBIT_FAIBLE,3,5,2026-03-11T07:08:06.536591+00:00,7,0.9561770937114431,-0.29278894354387464,3,7.74
QUALITE_DEGRADEE,1,6,2026-03-09T04:56:06.536591+00:00,4,0.9613818739141861,0.27521790005239133,1,13.95
MODEM_DEFECTUEUX,2,4,2025-11-20T23:34:06.536591+00:00,23,-0.11276967549959908,0.9936211553140941,4,10.64
COUPURE_TOTALE,1,6,2025-12-17T12:12:06.536591+00:00,12,-0.05277168558183176,-0.9986066038239745,3,9.79
CONFIG_MODEM,3,10,2026-01-25T07:46:06.536591+00:00,7,0.8947395858929187,-0.4465882594025153,0,9.86
MODEM_DEFECTUEUX,2,9,2026-03-21T08:40:06.536591+00:00,8,0.7657639012013518,-0.6431217984308153,6,10.48
DEBIT_FAIBLE,3,9,2026-03-25T01:19:06.536591+00:00,1,0.3383273513306852,0.9410284816845679,3,9.28
QUALITE_DEGRADEE,1,8,2026-02-19T10:39:06.536591+00:00,10,0.3457076609469431,-0.9383422686645814,4,9.95
CABLE_ENDOMMAGE,2,5,2025-11-11T03:39:06.536591+00:00,3,0.8168933045108807,0.5767888080097372,2,11.21
COUPURE_TOTALE,1,8,2026-01-30T05:09:06.536591+00:00,5,0.9754385250820478,0.22027184065549368,5,11.69
COUPURE_TOTALE,1,11,2025-10-18T17:32:06.536591+00:00,17,-0.9925992326887378,-0.12143625185968483,6,12.83
DEBIT_FAIBLE,3,5,2025-12-28T10:10:06.536591+00:00,10,0.46136153780361033,-0.8872122245750944,0,7.71
COUPURE_TOTALE,1,6,2026-01-27T21:27:06.536591+00:00,21,-0.618751231234445,0.7855869868104094,2,12.67
MODEM_DEFECTUEUX,2,6,2025-11-03T18:46:06.536591+00:00,18,-0.9798376206697124,0.19979548823814058,1,12.27
QUALITE_DEGRADEE,1,7,2026-01-20T03:20:06.536591+00:00,3,0.7663248391925555,0.6424532985645759,2,12.47
QUALITE_DEGRADEE,1,7,2025-12-08T13:42:06.536591+00:00,13,-0.4309048829389793,-0.9023973525334306,1,12.29
CABLE_ENDOMMAGE,2,3,2025-10-14T06:39:06.536591+00:00,6,0.9854820725817218,-0.1697795176693406,2,6.34
CONFIG_MODEM,3,10,2026-03-02T13:08:06.536591+00:00,13,-0.2927889435438742,-0.9561770937114432,1,12.11
COUPURE_TOTALE,1,8,2026-03-16T15:28:06.536591+00:00,15,-0.7882793115806886,-0.6153175821751524,1,13.59
MODEM_DEFECTUEUX,2,4,2026-03-25T10:33:06.536591+00:00,10,0.37015213262770297,-0.9289711506344873,3,7.18
COUPURE_TOTALE,1,11,2025-12-01T23:24:06.536591+00:00,23,-0.15600348982427578,0.9877565039839763,1,16.94
QUALITE_DEGRADEE,1,11,2026-02-18T22:23:06.536591+00:00,22,-0.4103209822871875,0.9119411666850431,3,16.66
DEBIT_FAIBLE,3,9,2025-11-17T04:19:06.536591+00:00,4,0.9046411850756498,0.42617405630202776,1,11.4
COUPURE_TOTALE,1,6,2026-02-10T12:49:06.536591+00:00,12,-0.2126040494541163,-0.9771384334656537,2,11.43
COUPURE_TOTALE,1,3,2025-10-27T09:51:06.536591+00:00,9,0.5332454467543739,-0.8459605744452445,1,11.16
CONFIG_MODEM,3,4,2025-12-27T20:42:06.536591+00:00,20,-0.7601225180546414,0.6497797761905731,6,8.93
DEBIT_FAIBLE,3,1,2025-12-25T15:43:06.536591+00:00,15,-0.8268352404097545,-0.5624442063143182,4,4.04
COUPURE_TOTALE,1,8,2025-10-30T20:54:06.536591+00:00,20,-0.7250739506271225,0.6886710144343068,4,11.81
COUPURE_TOTALE,1,3,2026-01-03T16:53:06.536591+00:00,16,-0.9576970189910615,-0.2877784213863755,6,8.18
CONFIG_MODEM,3,6,2025-12-16T15:38:06.536591+00:00,15,-0.8143688203140581,-0.5803476755362162,2,6.06
MODEM_DEFECTUEUX,2,6,2026-02-15T22:06:06.536591+00:00,22,-0.4767752585461598,0.8790252287837036,0,12.42
COUPURE_TOTALE,1,10,2025-10-27T01:55:06.536591+00:00,1,0.4813712673336986,0.8765168013138989,1,16.15
CONFIG_MODEM,3,8,2025-10-18T23:22:06.536591+00:00,23,-0.16461724188517005,0.9863575232511381,6,7.71
MODEM_DEFECTUEUX,2,9,2026-03-11T02:35:06.536591+00:00,2,0.6262637013901441,0.7796112982256712,3,10.7
DEBIT_FAIBLE,3,4,2026-01-26T20:18:06.536591+00:00,20,-0.8238789688354068,0.5667657758816307,1,9.86
QUALITE_DEGRADEE,1,9,2026-01-16T00:26:06.536591+00:00,0,0.11363673048392113,0.9935223668770244,5,13.75
COUPURE_TOTALE,1,3,2026-03-04T18:39:06.536591+00:00,18,-0.9854820725817219,0.16977951766933982,3,12.23
MODEM_DEFECTUEUX,2,3,2026-01-22T04:18:06.536591+00:00,4,0.9027730443267933,0.4301172287143748,4,10.2
COUPURE_TOTALE,1,2,2026-02-12T07:16:06.536591+00:00,7,0.9453764296912563,-0.3259806837593495,4,8.28
QUALITE_DEGRADEE,1,4,2026-01-30T15:22:06.536591+00:00,15,-0.7719020514068011,-0.6357414749990535,5,8.91
COUPURE_TOTALE,1,5,2025-11-24T00:47:06.536591+00:00,0,0.20406892091690487,0.9789565238128862,1,14.15
DEBIT_FAIBLE,3,4,2025-11-20T19:31:06.536591+00:00,19,-0.9220321494004294,0.38711331089491635,4,6.25
DEBIT_FAIBLE,3,3,2026-04-11T00:09:06.536591+00:00,0,0.039695807924574916,0.9992118107954966,6,9.3
MODEM_DEFECTUEUX,2,3,2026-01-15T05:02:06.536591+00:00,5,0.9682567971001166,0.249957546134186,4,9.32
